Name,Base,Snippet,PopupInfo,x,y
قاعة للحفلات كعوان,0.0,,,5.702974,36.1890929
Eden park reo,0.0,,,5.0348487,35.9458681
SAMU SOCIAL,0.0,,,6.1480234,35.552438
A.P.C,0.0,,,1.2660745,36.201976
Placemark,0.0,,,0.12905,35.4044657
مقر بلدية تاجنانت,0.0,,,5.9860349,36.1223305
Maison de jeunes دار الشباب,0.0,,,3.0910124,36.654349
مركز معاقين حركيا,0.0,,,7.3846596,35.7962201
الهلال الاحمر,0.0,,,7.124644,35.878633
دار الشباب سعيدي جموعي,0.0,,,7.3940596,35.790719
Placemark,0.0,,,7.2150952,36.7316374
Placemark,0.0,,,7.2151471,36.7316138
حي سوالم,0.0,,,5.3943459,31.9365938
Placemark,0.0,,,3.0848577,36.6050047
قعدة الأفراح,0.0,,,0.2055384,35.7562741
معهد موسقى,0.0,,,3.0813401,36.7291437
Placemark,0.0,,,5.3384944,31.9586418
قاعة حفلات معيوف,0.0,,,2.8117456,36.4594811
قاعة حفلات هدى,0.0,,,2.8108115,36.4658503
مركز شباب سوف,0.0,,,6.8532063,33.3672427
Placemark,0.0,,,5.4077826,36.2745034
Salle des fêtes Mezîane,0.0,,,5.2446828,36.6373341
إقامة الإصلاح,0.0,,,3.0335871,36.7272478
Salle des fêtes,0.0,,,2.7561348,36.6389847
Salle des fêtes Palais Saib,0.0,,,4.0816797,36.6894875
Miyabrod,0.0,,,-1.3223919,34.8926502
Eurl Miyabrod,0.0,,,-1.3228317,34.892255
قاعة أعراس,0.0,,,4.1564467,35.1994717
Salle des fêtes Royale,0.0,,,2.9114012,36.5784562
Siège de la commune,0.0,,,4.6854123,35.9455198
Placemark,0.0,,,4.6861679,35.9478111
Placemark,0.0,,,4.6861844,35.9478183
Placemark,0.0,,,4.6862217,35.9478077
Salle des fêtes la rêveuse,0.0,,,3.2601232,36.7103305
المركز الثقافي محمد البشير الإبراهيمي,0.0,,,5.0745747,35.8739147
Centre de Loisirs Scientifique,0.0,,,6.1603611,35.553927
Maison de jeunes,0.0,,,6.0133438,33.0100319
Placemark,0.0,,,3.0280621,36.6809235
Salle des fêtes,0.0,,,5.7467769,36.8158431
Placemark,0.0,,,3.0590117,36.7538748
Centre commercial,0.0,,,-8.1344965,27.6773286
مجمع التبريد بيق إندكس,0.0,,,-8.1294351,27.6562378
Placemark,0.0,,,3.2566476,36.7313432
Salle des fêtes el afrah tinhinan,0.0,,,3.0373989,36.8012486
مدرسة الشبان المكفوفين,0.0,,,2.9931685,36.7320856
الهزة شوادن,0.0,,,9.5866019,28.0436888
Dar el saada,0.0,,,3.2253231,36.7563787
Placemark,0.0,,,7.1569603,35.4296308
دار البلدية,0.0,,,2.3101032,34.8973105
